post_id,timestamp,group,author,content,media_type,media_ref
POST_001,2026-03-25T14:39:59,NBA Players,Jordan,Day 12 post-op. Finally walked without crutches today. Small win.,none,
POST_002,2026-03-25T14:39:59,College Athletes,Maya,"Rehab felt heavy today, but I still showed up. Proud of that.",none,
POST_003,2026-03-25T14:39:59,Rehab Crew,Sam,"Quick progress clip today. Not perfect, but better than last week.",none,
POST_004,2026-03-25T14:39:59,Public (All Athletes),Ava,Progress isn’t linear. Keep going even when it’s quiet.,none,
POST_005,2026-03-25T14:39:59,NBA Players,Chris,Confidence is coming back. I’m trusting my body again.,none,
POST_006,2026-03-25T14:39:59,College Athletes,Justin,Reminder: showing up counts even when the session feels rough.,none,
POST_007,2026-03-25T14:39:59,Rehab Crew,Riley,Today I focused on breathing before rehab. It helped more than I expected.,none,
POST_008,2026-03-25T14:39:59,Public (All Athletes),Tavion,Small wins add up. Stack the days and protect your mindset.,none,
POST_009,2026-03-25T14:39:59,College Athletes,Maya,"Told myself: I don’t need to be perfect, I just need to be consistent.",none,
POST_010,2026-03-25T14:39:59,Rehab Crew,Sam,One thing that helped today: I stopped comparing my timeline to anyone else.,none,
